Back,Back
"Are you sure you want to delete this application ?","Are you sure you want to delete this application ?"
"Delete Application","Delete Application"
"Save Job Application","Save Job Application"
"Delete Category","Delete Category"
"Are you sure you want to delete this Category ?","Are you sure you want to delete this Category ?"
"Save Job Category","Save Job Category"
"Delete Job","Delete Job"
"Are you sure you want to delete this Job ?","Are you sure you want to delete this Job ?"
"Save Job","Save Job"
"Job Application doesn't exists.","Job Application doesn't exists."
"Job Application deleted succesfully.","Job Application deleted succesfully."
"Error occurred while deleting job application.","Error occurred while deleting job application."
"Item does not exists.","Item does not exists."
"Edit Application Details","Edit Application Details"
"Create New Job Application","Create New Job Application"
"View All Applications","View All Applications"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong","Something went wrong"
"Job saved successfully","Job saved successfully"
"Category doesn't exists.","Category doesn't exists."
"Category deleted succesfully.","Category deleted succesfully."
"Error occurred while deleting category.","Error occurred while deleting category."
"Edit Job Category","Edit Job Category"
"New Job Category","New Job Category"
"Add/Manage Job Category","Add/Manage Job Category"
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"Job Category saved successfully","Job Category saved successfully"
"Job doesn't exists.","Job doesn't exists."
"Job deleted succesfully.","Job deleted succesfully."
"Error occurred while deleting job.","Error occurred while deleting job."
"Edit Job Details","Edit Job Details"
"Create New Job","Create New Job"
"Add/Manage Jobs","Add/Manage Jobs"
"Job not exists.","Job not exists."
"Application applied successfully.","Application applied successfully."
"Resume file not found. Please try again","Resume file not found. Please try again"
"Error occurred during resume upload. Please try again","Error occurred during resume upload. Please try again"
"Could not save the application: %1","Could not save the application: %1"
"Application with id ""%1"" does not exist.","Application with id ""%1"" does not exist."
"Could not delete the Application: %1","Could not delete the Application: %1"
"Could not save the category: %1","Could not save the category: %1"
"Category with id ""%1"" does not exist.","Category with id ""%1"" does not exist."
"Could not delete the Category: %1","Could not delete the Category: %1"
"Per Annum","Per Annum"
"Per Month","Per Month"
Enabled,Enabled
Disabled,Disabled
"Could not save the job: %1","Could not save the job: %1"
"Job with id ""%1"" does not exist.","Job with id ""%1"" does not exist."
"Could not delete the Job: %1","Could not delete the Job: %1"
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
View,View
Edit,Edit
Disable,Disable
Enable,Enable
Experience,Experience
Salary,Salary
"View Job Details","View Job Details"
"Apply For Job","Apply For Job"
"We don't have any open positions currently.","We don't have any open positions currently."
"Personal Information","Personal Information"
"First Name","First Name"
"Last Name","Last Name"
Email,Email
Address,Address
"Educational & Professional Information","Educational & Professional Information"
Qualification,Qualification
"Total Experience","Total Experience"
Select,Select
Fresher,Fresher
30+,30+
"Current Position","Current Position"
"Current Company","Current Company"
"Job Profile","Job Profile"
"Position Applied For","Position Applied For"
"Upload Your Resume","Upload Your Resume"
"Submit Application","Submit Application"
Description,Description
Eligibility,Eligibility
"Skills Required","Skills Required"
Location,Location
"Hello %admin_name,","Hello %admin_name,"
"A job application for %job_position has been arrived.","A job application for %job_position has been arrived."
"Please find the following details:","Please find the following details:"
"Applicant Name","Applicant Name"
"-- %applicant_name","-- %applicant_name"
"-- %qualification","-- %qualification"
"Experience (in Yrs.)","Experience (in Yrs.)"
"-- %experience","-- %experience"
"A job application created by you for %job_position has been arrived.","A job application created by you for %job_position has been arrived."
"Hello %applicant_name,","Hello %applicant_name,"
"Your job application for %job_position has been recieved and under review process.","Your job application for %job_position has been recieved and under review process."
"Your job application for %job_position has been created by admin and under review process.","Your job application for %job_position has been created by admin and under review process."
JobBoard,JobBoard
"Manage Jobs","Manage Jobs"
"Manage Categories","Manage Categories"
"View Applications","View Applications"
Webkul,Webkul
"Job Board","Job Board"
"JobBoard General Settings","JobBoard General Settings"
"Admin Name","Admin Name"
"It will be used in email templates and other places where admin name is required.","It will be used in email templates and other places where admin name is required."
"Admin Email-id","Admin Email-id"
"It will be used in jobboard transactional emails.","It will be used in jobboard transactional emails."
"Landing Page Head Title","Landing Page Head Title"
"e.g Work with Us","e.g Work with Us"
"Job Board Content","Job Board Content"
"Allowed Extensions for Resume","Allowed Extensions for Resume"
"Enter File type seperated by comma(,) like pdf,doc,txt","Enter File type seperated by comma(,) like pdf,doc,txt"
"JobBoard Transactional Emails","JobBoard Transactional Emails"
"Notification Email to Admin Template","Notification Email to Admin Template"
"Notification Email to Applicant Template","Notification Email to Applicant Template"
"Notification Email to Admin Created By Admin Template","Notification Email to Admin Created By Admin Template"
"Notification Email to Applicant Created By Admin Template","Notification Email to Applicant Created By Admin Template"
"Job Details Form","Job Details Form"
"Job Details","Job Details"
"Job Category","Job Category"
"Job Designation","Job Designation"
"Job Description","Job Description"
"Job Eligibility","Job Eligibility"
"Job Location","Job Location"
"Salary Type","Salary Type"
"Experience Required","Experience Required"
"Sort Order","Sort Order"
Status,Status
"Job Application Details","Job Application Details"
"Select Job","Select Job"
E-mail,E-mail
"Educational Qualification","Educational Qualification"
"Job Experience (in Yrs.)","Job Experience (in Yrs.)"
"Current / Previous Job Position","Current / Previous Job Position"
"Current / Previous Employer Name","Current / Previous Employer Name"
"Upload Resume","Upload Resume"
"Create Job Application","Create Job Application"
Delete,Delete
"Are you sure you want to Delete selected application's?","Are you sure you want to Delete selected application's?"
ID,ID
Position,Position
Company,Company
"Create Category","Create Category"
"Are you sure you want to enable selected category's?","Are you sure you want to enable selected category's?"
"Are you sure you want to Disable selected category's?","Are you sure you want to Disable selected category's?"
"Are you sure you want to Delete selected category's?","Are you sure you want to Delete selected category's?"
"Category Name","Category Name"
"Create Job","Create Job"
"Are you sure you want to enable selected job's?","Are you sure you want to enable selected job's?"
"Are you sure you want to Disable selected job's?","Are you sure you want to Disable selected job's?"
"Are you sure you want to Delete selected job's?","Are you sure you want to Delete selected job's?"
Designation,Designation
Category,Category
"Salary Offered","Salary Offered"
"Job Category Details","Job Category Details"
Jobs,Jobs
